Date,p_low_vol,p_med_vol,p_high_vol
2022-08-26,3.260095437826332e-11,0.9998658427061754,0.00013415726370732584
2022-08-29,1.7140153421342425e-05,0.9999706581887194,1.2201659475032255e-05
2022-08-30,5.070506044219531e-06,0.9999870766003531,7.852893422715048e-06
2022-08-31,3.89777139539492e-05,0.9999545428145443,6.479468044667972e-06
2022-09-01,0.00020830149111149228,0.9997859213387762,5.777171933732919e-06
2022-09-02,2.8579869243156717e-05,0.9999643075610749,7.112572558574104e-06
2022-09-06,0.00018168803316464667,0.9998125684320813,5.743536267926222e-06
2022-09-07,0.000402123922386877,0.9995864624738491,1.1413601000550334e-05
2022-09-08,0.0011407461004858857,0.9988526341323833,6.619768294724936e-06
2022-09-09,0.0009642295380080719,0.999016705065981,1.9065393974457483e-05
2022-09-12,0.0008378236462487956,0.9990083961170567,0.00015378023873786968
2022-09-13,4.3752273838815055e-16,0.997127987750753,0.0028720122500244176
2022-09-14,1.5104680987833608e-05,0.9998137199427574,0.00017117537672445607
2022-09-15,2.3465395708084988e-07,0.9999662505089886,3.35148345652206e-05
2022-09-16,4.400629551184778e-07,0.9999835853924446,1.5974544198878167e-05
2022-09-19,2.4678446879839612e-06,0.9999841918773961,1.3340276112155481e-05
2022-09-20,4.587252011806024e-08,0.9999699985990776,2.9955531273114894e-05
2022-09-21,1.1343192623569803e-09,0.999922084077917,7.791478771635243e-05
2022-09-22,1.7077590845843926e-08,0.9998875745706272,0.00011240834850303238
2022-09-23,2.5548500256702705e-10,0.9995289721510902,0.00047102759446531525
2022-09-26,5.745917567537833e-09,0.9986719474151552,0.0013280468361976819
2022-09-27,9.508823668764968e-09,0.9926385861328784,0.007361404360938195
2022-09-28,8.761104487127543e-10,0.9401962497383224,0.05980374938465718
2022-09-29,2.0944280795360176e-13,0.7436386499607336,0.2563613500354379
2022-09-30,4.253413542889279e-13,0.5762525227815968,0.4237474772150252
2022-10-03,2.146505644709049e-13,0.3442392533276727,0.655760746675585
2022-10-04,4.313931053542058e-15,0.1451124224958447,0.8548875775071759
2022-10-05,1.1639152252723914e-14,0.08838426508550522,0.9116157349148637
2022-10-06,1.6276297570620505e-17,0.029964682977021352,0.9700353170230545
2022-10-07,6.16378451815615e-23,0.0014939874214485555,0.9985060125814992
2022-10-10,1.8412027018756663e-19,0.000992788641918409,0.999007211356304
2022-10-11,7.946957263845681e-19,0.0010270569443817153,0.9989729430536289
2022-10-12,1.0515721634095833e-19,0.0007756817228440106,0.99922431827636
2022-10-13,7.684207612212376e-23,0.00020408256543603346,0.9997959174327455
2022-10-14,3.6941376701277796e-27,1.3315610939642541e-05,0.9999866843877276
2022-10-17,1.1608296809704965e-25,1.923642586639177e-05,0.9999807635717246
2022-10-18,8.882324961028142e-25,3.3208316310853545e-05,0.9999667916838734
2022-10-19,1.2876988207804464e-25,2.280550966515539e-05,0.9999771944912277
2022-10-20,1.4586999826774284e-25,2.327219768759454e-05,0.9999767278002307
2022-10-21,3.546292763020695e-24,5.51301748605755e-05,0.9999448698280994
2022-10-24,9.218045717826325e-22,0.00030891444891457834,0.9996910855488572
2022-10-25,3.161336838513631e-20,0.0011247092893242262,0.998875290711137
2022-10-26,6.056675468909732e-20,0.003963971644772101,0.9960360283516528
2022-10-27,6.322127606248222e-18,0.016592907001638447,0.9834070929950441
2022-10-28,3.2407836385030374e-16,0.04203113125261844,0.9579688687475868
2022-10-31,4.103108063600519e-15,0.09245894561496035,0.9075410543870748
2022-11-01,2.1124148694521633e-13,0.14643206058656164,0.8535679394140073
2022-11-02,1.6811187576121495e-17,0.17074677238820615,0.8292532276109528
2022-11-03,5.907616621710604e-14,0.36189045822676946,0.6381095417738724
2022-11-04,3.422556114709502e-11,0.5467746335655205,0.45322536639681466
2022-11-07,3.965194472986972e-10,0.6054617676426575,0.3945382319602639
2022-11-08,2.5729977479561345e-09,0.6162321982910569,0.3837677991393098
2022-11-09,1.5203667657924937e-12,0.6047847581497002,0.3952152418466599
2022-11-10,1.0801578764707599e-16,0.5952395721239799,0.4047604278758916
2022-11-11,1.621458185686317e-08,0.9079824256115867,0.0920175581739925
2022-11-14,4.018403676665232e-09,0.977434153800962,0.022565842180636658
2022-11-15,2.7679218885011903e-07,0.9967475944315463,0.0032521287740700576
2022-11-16,2.8201319535678e-08,0.9994025191589408,0.0005974526416207998
2022-11-17,2.4786889835686915e-07,0.9999155516496262,8.420048261197983e-05
2022-11-18,3.0091729975326322e-06,0.999980270213203,1.672061248871427e-05
2022-11-21,1.0035292695067406e-06,0.9999863663089748,1.2630162925593536e-05
2022-11-22,7.135536977412589e-06,0.9999809446159116,1.1919849513683635e-05
2022-11-23,9.05144704726822e-06,0.9999819935931099,8.954961016569247e-06
2022-11-25,4.834259132192488e-06,0.9999859230419507,9.2426962077298e-06
2022-11-28,3.3861552173270335e-08,0.9999780498773185,2.191626235268135e-05
2022-11-29,5.27069046588302e-06,0.999982870876287,1.1858433178462927e-05
2022-11-30,1.902836793634699e-07,0.9999399410581561,5.9868655964337925e-05
2022-12-01,7.736062496361637e-06,0.999982703248385,9.560686765314829e-06
2022-12-02,9.076512215196096e-06,0.9999837443258665,7.179164013177624e-06
2022-12-05,9.209063028420024e-09,0.9999774736852209,2.2517108829754563e-05
2022-12-06,2.9874373947436616e-08,0.9999831863055241,1.6783818730016544e-05
2022-12-07,2.387860558822538e-06,0.9999903164894487,7.295652277639317e-06
2022-12-08,2.4434833658413386e-05,0.9999693110055692,6.254158134050475e-06
2022-12-09,0.00024424462064077365,0.9997487007964139,7.054579800123602e-06
2022-12-12,0.0008875363107227849,0.999101025701968,1.1437984823617956e-05
2022-12-13,0.0011104352726431191,0.9988818470935783,7.717630382019963e-06
2022-12-14,0.00033892431389193317,0.9996535744428938,7.50124379365842e-06
2022-12-15,3.8005260930200543e-08,0.9999727270268741,2.723496797933916e-05
2022-12-16,8.233812769803577e-06,0.9999829304726368,8.835716481675182e-06
2022-12-19,5.154914882063836e-05,0.9999420447771585,6.406076015478008e-06
2022-12-20,0.0003641339237034513,0.9996305883622748,5.277713671739024e-06
2022-12-21,0.0003411135314927859,0.9996498117918945,9.074675808719915e-06
2022-12-22,1.2966155418448758e-05,0.9999774903831676,9.543464277672644e-06
2022-12-23,0.0003127766357337152,0.9996816046547391,5.6187063047579895e-06
2022-12-27,0.00016515508027980692,0.9998292511209496,5.593801779078528e-06
2022-12-28,1.7515140241558056e-05,0.9999734866819027,8.99817877597257e-06
2022-12-29,0.00033147169165295476,0.9996559511649193,1.2577143529060553e-05
2022-12-30,0.00046482040569116584,0.9995294794974872,5.700098992642553e-06
2023-01-03,0.00036105692075820336,0.9996331933817971,5.749693988654969e-06
2023-01-04,0.0004229179788175628,0.9995705154391052,6.566581660735748e-06
2023-01-05,3.058733824591315e-05,0.9999604172602417,8.995404504095182e-06
2023-01-06,8.267611544940717e-06,0.9999707186065006,2.101378307833814e-05
2023-01-09,3.703304112962757e-05,0.9999560894830517,6.877475454432526e-06
2023-01-10,4.8236455552131245e-05,0.9999447853661676,6.978175167254277e-06
2023-01-11,2.749341192702486e-05,0.9999634667381229,9.039850595604684e-06
2023-01-12,2.567747074632315e-05,0.9999675815359134,6.740992122380909e-06
2023-01-13,2.243187216404723e-05,0.9999708363644332,6.73176173131534e-06
2023-01-17,3.7035912380795644e-05,0.9999564172142246,6.546871552634073e-06
2023-01-18,8.160940590189829e-07,0.9999864468381789,1.273706515320749e-05
2023-01-19,1.181958081111207e-05,0.9999801735249146,8.006892678469514e-06
2023-01-20,1.2450015287190174e-05,0.9999726952536343,1.4854731607632556e-05
2023-01-23,7.781767393339548e-05,0.9999130523904866,9.129935020404512e-06
2023-01-24,0.00033292400993077914,0.9996610319111568,6.04408125752891e-06
2023-01-25,0.001178185603233058,0.9988159128996602,5.90150030131354e-06
2023-01-26,0.0033992447303506264,0.996592879793507,7.875473521634614e-06
2023-01-27,0.007932922680090337,0.992061086854761,5.990468296656812e-06
2023-01-30,0.010844651656905124,0.9891472287761859,8.119568950745896e-06
2023-01-31,0.05172923167387405,0.9482611948030715,9.573520071169245e-06
2023-02-01,0.10567533765601274,0.8943175038451135,7.15849557852219e-06
2023-02-02,0.1386011311526709,0.8613903576924351,8.511152225212369e-06
2023-02-03,0.16764387278858245,0.8323509121016025,5.215107683635017e-06
2023-02-06,0.2901091328656577,0.7098868733607482,3.993770157206075e-06
2023-02-07,0.37387237057972744,0.6261217370068819,5.892415468702249e-06
2023-02-08,0.4019043310775106,0.5980920244682917,3.6444520853541743e-06
2023-02-09,0.5026424624632956,0.4973554083699089,2.1291693698322137e-06
2023-02-10,0.6733820314502412,0.3266163234854168,1.645064255779252e-06
2023-02-13,0.7178917506857181,0.2821060284825186,2.2208348337509307e-06
2023-02-14,0.7302194066106378,0.26977912145739125,1.471934893345187e-06
2023-02-15,0.7263453667692803,0.27365289486470445,1.7383633765189136e-06
2023-02-16,0.6663404989393302,0.3336571269645473,2.37409272687829e-06
2023-02-17,0.6647795448521863,0.33521834804095624,2.1071038865290276e-06
2023-02-21,0.629677243593753,0.3703206135270327,2.142880180344916e-06
2023-02-22,0.8394169536774304,0.16058251167624543,5.346447820849899e-07
2023-02-23,0.9117995898193624,0.0881999551306358,4.550465331840383e-07
2023-02-24,0.926663305991192,0.07333648240093715,2.11605146967287e-07
2023-02-27,0.9699273179346761,0.030072562204811876,1.1986346816649647e-07
2023-02-28,0.9793993835282935,0.02060052142131032,9.504816596470504e-08
2023-03-01,0.982386514600809,0.01761338673742411,9.866043067314314e-08
2023-03-02,0.9796275096200265,0.020372348822672803,1.4155397678477414e-07
2023-03-03,0.9497244294589865,0.050275278795694635,2.9174272615256e-07
2023-03-06,0.8738962797913145,0.1261033906500653,3.2955630616633984e-07
2023-03-07,0.38374654166148153,0.6162522358525531,1.2224870925828194e-06
2023-03-08,0.33015234308016944,0.6698436360314254,4.020888533248229e-06
2023-03-09,0.010105733562014264,0.9898853820064444,8.884431274079705e-06
2023-03-10,0.0023521488203522927,0.9976384919696705,9.35920667432933e-06
2023-03-13,0.0024880348104485894,0.9975058616486817,6.103540880960629e-06
2023-03-14,0.0011475116113212505,0.9988403113297932,1.2177058207983496e-05
2023-03-15,0.0003594888833687385,0.9996336481006396,6.863016410935882e-06
2023-03-16,6.956623821398935e-05,0.9999174754268195,1.2958335431042116e-05
2023-03-17,6.3393399230897775e-06,0.9999842167680538,9.443891839511708e-06
2023-03-20,4.1908039941102826e-05,0.9999500646325798,8.027328999519317e-06
2023-03-21,3.6324041010195273e-05,0.9999535110584302,1.0164902083413379e-05
2023-03-22,2.3537852553810593e-07,0.9999838019723433,1.5962648339423547e-05
2023-03-23,2.0869305414255934e-05,0.9999720717140113,7.058984003807605e-06
2023-03-24,2.3646448987990745e-05,0.9999692214194564,7.132134190785119e-06
2023-03-27,1.7102287101064764e-05,0.9999762318098663,6.6659051862406556e-06
2023-03-28,9.783029801361919e-06,0.9999831727797465,7.044190825930598e-06
2023-03-29,7.55729403611554e-06,0.9999814929654343,1.0949738656561907e-05
2023-03-30,1.385718652108553e-05,0.9999785067829797,7.63603357781495e-06
2023-03-31,8.335737860402964e-06,0.9999810138526073,1.065040768915667e-05
2023-04-03,1.2656291346364826e-05,0.9999801662272739,7.17748001808989e-06
2023-04-04,1.4490774909951809e-05,0.9999782221391246,7.287086327385206e-06
2023-04-05,0.000364886981107702,0.9996284627587116,6.650260913353411e-06
2023-04-06,0.009709285241366066,0.9902846410434678,6.073712513184425e-06
